title,author,journal,year,source,status,reason
"From road distraction to safe driving: Evaluating the effects of boredom and gamification on driving behaviour, physiological arousal, and subjective experience",Fabius Steinberger and Ronald Schroeter and Christopher N. Watling,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
"Does Gamification Work? - A Literature Review of Empirical Studies on
Gamification","Hamari, Juho and Koivisto, Jonna and Sarsa, Harri",,2014,ISI Web of Science,Duplicated,
How does the web game design influence the behavior of e-banking users?,Luís Filipe Rodrigues and Carlos J. Costa and Abílio Oliveira,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
Investigating Teachers Motivation to Use ICT Tools in Higher Education,"Schulz, Renee and Isabwe, Ghislain Maurice and Reichert, Frank",,2015,ISI Web of Science,Duplicated,
Studying student differentiation in gamified education: A long-term study,Gabriel Barata and Sandra Gama and Joaquim Jorge and Daniel Gonçalves,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
Investigating teachers motivation to use ICT tools in higher education,R. {Schulz} and G. M. {Isabwe} and F. {Reichert},,2015,IEEE Digital Library,Duplicated,
Individualising gamification: An investigation of the impact of learning styles and personality traits on the efficacy of gamification using a prediction market,Patrick Buckley and Elaine Doyle,Computers & Education,2017,Science@Direct,Rejected,Study that does not address gamification
Investigating teachers motivation to use ICT tools in higher education,"Schulz, Renee and Isabwe, Ghislain Maurice and Reichert, Frank","2015 Internet Technologies and Applications, ITA 2015 - Proceedings of the 6th International Conference",2015,El Compendex,Duplicated,
A Gamification Interactive Typing for Primary School Visually Impaired Children in Indonesia,YanFi and Yogi Udjaja and Azani Cempaka Sari,Procedia Computer Science,2017,Science@Direct,Rejected,Not a secondary study
A game-based learning approach to road safety: The code of everand,"Dunwell, I. and De Freitas, S. and Petridis, P. and Hendrix, M. and Arnab, S. and Lameras, P. and Stewart, C.",Conference on Human Factors in Computing Systems - Proceedings,2014,Scopus,Duplicated,
A systematic mapping study on game-related methods for software engineering education,"Souza, Mauricio R. de A. and Veado, Lucas and Moreira, Renata Teles and Figueiredo, Eduardo and Costa, Heitor",Information and Software Technology,2018,El Compendex,Accepted,
"eSports, skins and loot boxes: Participants, practices and problematic
behaviour associated with emergent forms of gambling","Macey, Joseph and Hamari, Juho",NEW MEDIA \& SOCIETY,2019,ISI Web of Science,Duplicated,
Gamification in software engineering education: A systematic mapping,"Alhammad, Manal M. and Moreno, Ana M.",Journal of Systems and Software,2018,El Compendex,Accepted,
"Amplifying User and Producer Innovation The Power of Participation
Motives","Raasch, Christina and von Hippel, Eric",,2015,ISI Web of Science,Duplicated,
Gamification of Apollo lunar exploration missions for learning engagement,Chao Peng and Lizhou Cao and Sabin Timalsena,Entertainment Computing,2017,Science@Direct,Rejected,Not a secondary study
A cross-Cultural study of attitudes to digital tools among students and teachers in the european language classroom,"Billore, S. and Rosén, C.",CEUR Workshop Proceedings,2016,Scopus,Duplicated,
Gamification in Tourism. Designing memobable experiences,"Kagermeier, Andreas",ZEITSCHRIFT FUR TOURISMUSWISSENSCHAFT,2016,ISI Web of Science,Rejected,"Gray literature (position paper, and studies without peer-review process)"
Architecting an extensible framework for gamifying software engineering concepts,"Sripada, Sai Krishna and Reddy, Y. Raghu and Khandelwal, Shivam",ACM International Conference Proceeding Series,2016,El Compendex,Duplicated,
Teachers’ Attitude towards and Actual Use of Gamification,José Martí-Parreño and Diana Seguí-Mas and Elies Seguí-Mas,Procedia - Social and Behavioral Sciences,2016,Science@Direct,Rejected,Not a secondary study
"Gamification of Apollo lunar exploration missions for learning
engagement","Peng, Chao and Cao, Lizhou and Timalsena, Sabin",ENTERTAINMENT COMPUTING,2017,ISI Web of Science,Duplicated,
Gamified learning: A role-playing approach to increase student in-class motivation,Alexandru Topîrceanu,Procedia Computer Science,2017,Science@Direct,Rejected,Not a secondary study
Gamifying the Element of Forgetting in E-learning Systems,"Kimura, Yukiya and Kawamoto, Pauline N.","Proceedings of 2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2018",2019,El Compendex,Duplicated,
Gamification and Social Dynamics Behind Corporate Cycling Campaigns,Alexandra Millonig and Matthias Wunsch and Agnis Stibe and Stefan Seer and Chengzhen Dai and Katja Schechtner and Ryan C.C. Chin,Transportation Research Procedia,2016,Science@Direct,Rejected,Not a secondary study
"Promoting sustainable travel behaviour through the use of smartphone
applications: A review and development of a conceptual model","Andersson, Alfred and Hiselius, Lena Winslott and Adell, Emeli",TRAVEL BEHAVIOUR AND SOCIETY,2018,ISI Web of Science,Duplicated,
Gamification in Education: A Board Game Approach to Knowledge Acquisition,Bahar Taspinar and Werner Schmidt and Heidi Schuhbauer,Procedia Computer Science,2016,Science@Direct,Rejected,Not a secondary study
Promoting sustainable travel behaviour through the use of smartphone applications: A review and development of a conceptual model,Alfred Andersson and Lena Winslott Hiselius and Emeli Adell,Travel Behaviour and Society,2018,Science@Direct,Duplicated,
Gamification of Cognitive Assessment and Cognitive Training: A Systematic Review of Applications and Efficacy,"Lumsden, Jim and Edwards, Elizabeth A. and Lawrence, Natalia S. andCoyle, David and Munafo, Marcus R.",JMIR SERIOUS GAMES,2016,ISI Web of Science,Accepted,
Gamification of MOOCs for Increasing User Engagement,"Vaibhav, Anant and Gupta, Pooja",,2014,ISI Web of Science,Duplicated,
Gamified Twitter Microblogging to Support Resident Preparation for the American Board of Surgery In-Service Training Examination,Laura C. Lamb and Monica M. DiFiori and Vijay Jayaraman and Brian D. Shames and James M. Feeney,Journal of Surgical Education,2017,Science@Direct,Rejected,Not a secondary study
Gamification of MOOCs for increasing user engagement,"Vaibhav, Anant and Gupta, Pooja","Proceedings of the 2014 IEEE International Conference on MOOCs, Innovation and Technology in Education, IEEE MITE 2014",2014,El Compendex,Duplicated,
Gamification design to foster stakeholder engagement and behavior change: An application to urban freight transport,Edoardo Marcucci and Valerio Gatta and Michela Le Pira,Transportation Research Part A: Policy and Practice,2018,Science@Direct,Rejected,Not a secondary study
Gamification of MOOCs for increasing user engagement,A. {Vaibhav} and P. {Gupta},,2014,IEEE Digital Library,Duplicated,
Gamified In-Home Rehabilitation for Stroke Survivors: Analytical Review,"Tamayo-Serrano, Paul and Garbaya, Samir and Blazevic, Pierre",INTERNATIONAL JOURNAL OF SERIOUS GAMES,2018,ISI Web of Science,Accepted,
"Exploring Gamification Techniques and Applications for Sustainable
Tourism","Negrusa, Adina Letitia and Toader, Valentin and Sofica, Aurelian and
Tutunea, Mihaela Filofteia and Rus, Rozalia Veronica",SUSTAINABILITY,2015,ISI Web of Science,Duplicated,
A systematic review of gamification in e-Health,"Sardi, L. and Idri, A. and Fernández-Alemán, J.L.",Journal of Biomedical Informatics,2017,Scopus,Accepted,
"An exploratory study of student engagement in gamified online
discussions","Ding, Lu and Er, Erkan and Orey, Michael",COMPUTERS \& EDUCATION,2018,ISI Web of Science,Duplicated,
A Review of Gamification in Technological Pedagogical Content Knowledge,"Prabawa, H.W.",Journal of Physics: Conference Series,2017,El Compendex,Rejected,
An exploratory study of student engagement in gamified online discussions,"Ding, Lu and Er, Erkan and Orey, Michael",Computers and Education,2018,El Compendex,Duplicated,
Collecting Pokémon or receiving rewards? How people functionalise badges in gamified online learning environments in the wild,Rob van Roy and Sebastian Deterding and Bieke Zaman,International Journal of Human-Computer Studies,2018,Science@Direct,Rejected,Not a secondary study
An exploratory study of student engagement in gamified online discussions,"Ding, L. and Er, E. and Orey, M.",Computers and Education,2018,Scopus,Duplicated,
The gamification as a tool to increase employee skills through interactives work instructions training,Marcelo Pereira and Marcelo Oliveira and Andréia Vieira and Rui M. Lima and Luciano Paes,Procedia Computer Science,2018,Science@Direct,Rejected,Not a secondary study
Supporting virtual learning for digital literacy: First experiences with a mobile app and gamification elements,"Katzlinger, Elisabeth and Niederlander, Ursula","Proceedings of the European Conference on e-Learning, ECEL",2018,El Compendex,Duplicated,
A review of empirical studies on educational games: 2013-2017,"Zeng, J. and Shang, J.","ICCE 2018 - 26th International Conference on Computers in Education, Main Conference Proceedings",2018,Scopus,Rejected,Does not address gamification
Gamification in education: A methodology to identify student's profile,"Freitas, Sergio Antonio Andrade and Lacerda, Arthur R.T. and Calado, Paulo M.R.O. and Lima, Thiago S. and Canedo, Edna Dias","Proceedings - Frontiers in Education Conference, FIE",2017,El Compendex,Duplicated,
Gamification Approach to Smartphone-app-based Mobility Management,Ryota Nakashima and Takahiro Sato and Takuya Maruyama,Transportation Research Procedia,2017,Science@Direct,Rejected,Not a secondary study
The Cognitive and Social Motivational Affordances of Gamification in E-Learning Environment,S. {Abu-Dawood},,2016,IEEE Digital Library,Duplicated,
How Gamification Applies for Educational Purpose Specially with College Algebra,Usef Faghihi and Albert Brautigam and Kris Jorgenson and David Martin and Angela Brown and Elizabeth Measures and Sioui Maldonado-Bouchard,Procedia Computer Science,2014,Science@Direct,Rejected,Not a secondary study
Peace of Mind An Experiential Safety Framework for Automated Driving Technology Interactions,"Strano, Marina and Novak, Fabricio and Walbert, Shelly and Palmeiro, Beatriz and Morales, Sonia and Alvarez, Ignacio","IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",2018,El Compendex,Duplicated,
Gamification Patterns for Gamification Applications,Darius Ašeriškis and Robertas Damaševičius,Procedia Computer Science,2014,Science@Direct,Rejected,Not a secondary study
Peace of Mind An Experiential Safety Framework for Automated Driving Technology Interactions,"Strano, M. and Novak, F. and Walbert, S. and Palmeiro, B. and Morales, S. and Alvarez, I.","IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",2018,Scopus,Duplicated,
The Role of Gamification in Non-profit Marketing: An Information Processing Account.,Elizabeth A. Freudmann and Yiorgos Bakamitsos,Procedia - Social and Behavioral Sciences,2014,Science@Direct,Rejected,Not a secondary study
"“Peace of Mind”, An Experiential Safety Framework for Automated Driving Technology Interactions",M. {Strano} and F. {Novak} and S. {Walbert} and B. {Palmeiro} and S. {Morales} and I. {Alvarez},,2018,IEEE Digital Library,Duplicated,
DataGenCARS: A generator of synthetic data for the evaluation of context-aware recommendation systems,María del Carmen Rodríguez-Hernández and Sergio Ilarri and Ramón Hermoso and Raquel Trillo-Lado,Pervasive and Mobile Computing,2017,Science@Direct,Rejected,Study that does not address gamification
"Proceedings - 2018 International Conference on the Quality of Information and Communications Technology, QUATIC 2018",,"Proceedings - 2018 International Conference on the Quality of Information and Communications Technology, QUATIC 2018",2018,El Compendex,Duplicated,
Assessing the state of archaeological GIS research: Unbinding analyses of past landscapes,Meghan C.L. Howey and Marieka Brouwer Burg,Journal of Archaeological Science,2017,Science@Direct,Rejected,Study that does not address gamification
Measuring flow experience in gaming devices interactions,"Omar, Azmi and Nazlena Mohamad Ali and Hairuliza Mohd Judi","Proceedings of the 2011 International Conference on Electrical Engineering and Informatics, ICEEI 2011",2011,El Compendex,Duplicated,
The effects of interaction sequencing on user experience and preference,Andy Cockburn and Philip Quinn and Carl Gutwin,International Journal of Human-Computer Studies,2017,Science@Direct,Rejected,Study that does not address gamification
